Date,Open,High,Low,Close,Adj Close,Volume
2019-11-20,0.235000,0.279900,0.230000,0.245000,0.245000,272921
2019-11-21,0.262400,0.268800,0.245200,0.265000,0.265000,133876
2019-11-22,0.269000,0.270000,0.250000,0.265900,0.265900,243916
2019-11-25,0.265800,0.265800,0.250000,0.250000,0.250000,34990
2019-11-26,0.264800,0.300000,0.260000,0.289800,0.289800,133016
2019-11-27,0.280500,0.288500,0.255000,0.275000,0.275000,36510
2019-11-29,0.288000,0.291660,0.288000,0.291660,0.291660,1210
2019-12-02,0.291200,0.291200,0.271000,0.280000,0.280000,5612
2019-12-03,0.270000,0.270690,0.250000,0.250000,0.250000,65478
2019-12-04,0.276700,0.314800,0.250000,0.279800,0.279800,160899
2019-12-05,0.343150,0.343150,0.265350,0.297250,0.297250,65131
2019-12-06,0.300000,0.300000,0.262000,0.298500,0.298500,162075
2019-12-09,0.281480,0.281480,0.250100,0.272380,0.272380,117387
2019-12-10,0.279500,0.300000,0.260000,0.260000,0.260000,201180
2019-12-11,0.291300,0.302500,0.270000,0.283000,0.283000,48436
2019-12-12,0.277350,0.305000,0.277350,0.305000,0.305000,28037
2019-12-13,0.270000,0.300000,0.270000,0.292960,0.292960,66153
2019-12-16,0.300100,0.300200,0.270800,0.282500,0.282500,52065
2019-12-17,0.226500,0.300300,0.226500,0.286900,0.286900,26358
2019-12-18,0.285640,0.300000,0.278000,0.295030,0.295030,53350
2019-12-19,0.298750,0.330000,0.296790,0.315000,0.315000,79320
2019-12-20,0.315000,0.325000,0.297550,0.301000,0.301000,12521
2019-12-23,0.290000,0.310000,0.275100,0.305000,0.305000,47100
2019-12-24,0.301500,0.309900,0.270000,0.309900,0.309900,18370
2019-12-26,0.327000,0.327000,0.280000,0.287500,0.287500,20679
2019-12-27,0.290000,0.300000,0.285000,0.300000,0.300000,25700
2019-12-30,0.300000,0.315000,0.281000,0.305000,0.305000,47518
2019-12-31,0.307500,0.330000,0.300000,0.330000,0.330000,21729
